,Nombre,Country,Source,Latitud,Longitud,Elevation,Fecha,Tipo,Comment,2H,18O,H3,H3Error,ExcessDeuterio,Conductivity,Precipitation,TempAir,TempWater,Vp,
78,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/2003,Precipitation,previously presented H3 value of 58.7Â±0.4 TU removed 2019-12-17.,,,,,,,52,,,,
79,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/2003,Precipitation,,,,,,,,55,,,,
80,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/2001,Precipitation,,-45.7,-7.37,2.31,,13.26,,54.2,13.5,,12.9,
81,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/2001,Precipitation,,-34.8,-5.71,2.76,,10.88,,65.1,12.8,,12.2,
82,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1999,Precipitation,,-35.1,-6.22,3.06,,14.7,,52,13.1,,11.5,
83,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/2001,Precipitation,,,,,,,,17.4,13.4,,12,
84,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1999,Precipitation,,-84.6,-12.32,2.77,,14,,154,12.9,,12,
85,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1999,Precipitation,,-75.7,-10.9,2.2,,11.5,,199,13.1,,12.3,
86,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1999,Precipitation,,-72.05,-10.62,2.33,,12.91,,102,13.4,,12.7,
87,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1999,Precipitation,,-30.35,-5.64,2.68,,14.73,,48,13.1,,12.2,
88,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/2000,Precipitation,,-3.75,-2.65,2.2,,17.45,,28,13,,11.5,
89,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/2000,Precipitation,,-33.1,-6.16,2.47,,16.18,,123,12.9,,11.8,
90,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/2000,Precipitation,,,,,,,,73,13,,12,
91,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/2000,Precipitation,,-59.35,-8.91,2.46,,11.93,,34,13.2,,11.9,
92,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/2000,Precipitation,,-91.8,-12.62,2.19,,9.16,,111,13.2,,12.5,
93,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/2000,Precipitation,,-109.25,-14.5,2.25,,6.75,,61,13.6,,11.8,
94,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/2000,Precipitation,,-97.45,-13.04,2.38,,6.87,,69,13.6,,11.2,
95,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/2000,Precipitation,,-46.55,-7.62,2.11,,14.41,,56,12.5,,10.9,
96,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/2000,Precipitation,,-85.7,-12,2.55,,10.3,,118,12.9,,13.8,
97,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/2000,Precipitation,,-80.75,-11.39,2.56,,10.37,,72,12.6,,12,
